epoch,n, train_loss, valid_loss
75,2, 433.9928302002, 263.0532507324,
75,3, 479.8628607178, 324.9386614990,
75,4, 378.1976843262, 247.5386212158,
76,0, 307.0995025635, 202.4412121582,
76,1, 369.4224310303, 158.5539801025,
76,2, 306.9708181763, 1732.5724951172,
76,3, 377.4997930908, 275.3393444824,
76,4, 340.8465850830, 281.1922204590,
77,0, 278.4498171997, 133.2945236206,
77,1, 335.6052435303, 82.5270930481,
77,2, 248.5014971924, 161.3743621826,
77,3, 295.6550811768, 1159.0642993164,
77,4, 335.9117504883, 202.6585894775,
78,0, 282.8041244507, 360.3101318359,
78,1, 289.2184216309, 211.7966510010,
78,2, 501.6722076416, 278.3737835693,
78,3, 422.8547821045, 196.6051318359,
78,4, 457.4093988037, 1181.8697729492,
79,0, 408.0630664063, 208.8332073975,
79,1, 297.1090014648, 162.5951358032,
79,2, 265.7083203125, 132.3684362793,
79,3, 276.1561596680, 291.4252850342,
79,4, 356.4459008789, 1081.2626635742,
80,0, 404.0151159668, 639.1421679687,
80,1, 372.2495483398, 162.9804681396,
80,2, 359.1681085205, 202.2660028076,
80,3, 335.9976983643, 382.5949291992,
80,4, 336.2829791260, 470.5028674316,
81,0, 423.7869433594, 687.1110009766,
81,1, 304.8155163574, 207.5368005371,
81,2, 311.5541729736, 190.4262631226,
81,3, 257.8768624878, 319.4461920166,
81,4, 387.2569723511, 183.8891168213,
82,0, 285.0586614990, 826.1566918945,
82,1, 291.8649725342, 472.4011132812,
82,2, 280.6064535522, 319.3540643311,
82,3, 211.0451361084, 74.9163407898,
82,4, 264.1153604126, 1116.0385205078,
83,0, 362.0662542725, 1128.8144091797,
83,1, 294.7474371338, 158.3131729126,
83,2, 294.7853942871, 2219.3978222656,
83,3, 415.3100610352, 726.2345703125,
83,4, 441.5154901123, 457.1326611328,
84,0, 309.1584790039, 128.9420126343,
84,1, 308.1203460693, 522.6420446777,
84,2, 338.4674450684, 99.8081347656,
84,3, 291.6835879517, 118.2926879883,
84,4, 263.9887573242, 640.5156591797,
85,0, 254.2104144287, 147.2832983398,
85,1, 294.7859661865, 149.3134915161,
85,2, 350.4221490479, 123.7663888550,
85,3, 319.2498959351, 275.1268243408,
85,4, 318.5206195068, 196.6234790039,
86,0, 314.9027770996, 286.1617602539,
86,1, 312.4642092896, 234.2203686523,
86,2, 289.6011459351, 194.8914697266,
86,3, 290.2950567627, 446.6885083008,
86,4, 276.3118414307, 170.9912091064,
87,0, 305.0019500732, 543.5047753906,
87,1, 287.3807156372, 613.5356250000,
87,2, 325.3328067017, 111.1161206055,
87,3, 308.1202661133, 545.9496948242,
87,4, 298.1674890137, 407.0752844238,
88,0, 298.7558645630, 232.1227355957,
88,1, 313.8317068481, 155.1109152222,
88,2, 356.2422290039, 331.9947277832,
88,3, 257.7628948975, 482.4484167480,
88,4, 234.0319216919, 935.9901147461,
89,0, 387.1036935425, 204.0257885742,
89,1, 367.7630831909, 183.7170614624,
89,2, 272.7999874878, 545.8637902832,
89,3, 278.5151928711, 398.4909075928,
89,4, 311.8605007935, 666.6441101074,
90,0, 340.8064276123, 206.4485052490,
