60	309.74	218	373.61	430	373.266	1000	399.22
103	422.297	255	452.473	617	454.76	1700	504.868
78	539.553	216	532.59	612	450.816	1500	1112.42
51	149.487	303	167.023	598	173.855	1000	189.292
52	275.192	128	311.81	538	211.536	1300	514.066
97	396.68	399	504.138	722	508.053	1600	532.111
52	978.409	295	1179.44	974	1164.78	1600	1595.5
63	496.866	690	565.716	1274	603.7	1700	691.911
84	583.396	402	626.65	837	621.638	1600	933.845
67	303.568	186	346.998	543	283.224	1500	765.551
91	242.216	299	260.048	571	266.482	1500	299.413
66	787.13	690	950.802	1286	1043.31	1600	1091.84
83	401.47	443	455.695	963	420.309	1600	769.837
87	780.536	613	930.992	1190	1004.03	1700	1073.06
83	240.101	472	255.551	892	261.833	1700	439.911
72	702.736	532	779.152	1025	831.148	1700	904.235
68	154.67	232	170.206	498	176.866	1200	197.872
62	266.647	319	291.175	608	302.544	1200	311.644
87	166.132	257	186.801	487	187.027	1200	449.066
69	228.608	288	265.104	523	274.503	1200	268.996
63	402.003	345	441.645	792	422.43	1400	661.93
80	711.014	341	752.636	726	768.714	1600	777.279
65	477.842	572	547.299	1080	583.257	1700	651.118
74	254.74	420	276.01	893	290.54	1400	315.084
60	913.117	322	1085.19	990	1064.52	1700	1616.38
41	188.97	105	220.145	435	181.126	1000	399.289
76	443.531	173	450.199	594	366.002	1600	823.24
77	182.187	321	209.389	566	214.878	1300	233.004
49	399.371	118	446.53	592	327.426	1300	806.967
78	186.575	384	236.178	713	239.139	1500	296.958
111	259.476	433	276.832	823	285.398	1700	325.505
97	383.94	317	401.985	601	400.407	1700	444.172
87	458.531	327	536.365	699	558.342	1400	608.891
71	293.578	185	315.675	522	273.673	1400	655.21
103	318.314	414	346.441	787	354.274	1600	385.297
78	369.79	390	399.26	769	424.984	1600	348.361
78	295.58	454	363.355	939	383.599	1600	413.058
93	279.835	395	302.515	781	313.783	1700	347.335
79	268.343	413	299.49	765	307.911	1500	456.787
73	445.565	665	496.67	1312	547.35	1600	572.912
83	585.061	457	661.463	958	686.244	1700	759.225
67	352.514	157	409.851	644	338.611	1400	820.276
76	295.061	402	321.385	773	334.816	1600	382.544
58	255.65	256	305.105	555	318.174	1100	347.414
84	604.681	388	649.637	935	690.498	1600	747.712
55	382.302	567	450.862	1064	298.012	1500	335.656
80	386.5	499	442.668	1012	470.272	1600	505.056
39	297.861	451	335.154	922	291.997	1300	251.52
100	263.677	326	270.46	672	255.584	1600	747.536
69	397.525	440	447.387	819	460.22	1500	685.06
62	428.135	517	492.278	985	534.039	1400	568.663
68	476.314	168	542.722	653	445.521	1700	1004.28
68	355.327	546	400.081	979	421.669	1500	439.627
53	784.3	126	960.462	854	863.597	1600	1738.12
71	115.163	252	123.258	580	129.026	1200	140.116
74	398.972	158	436.396	634	342.74	1700	1043.81
106	330.012	481	374.559	874	386.848	1700	407.926
92	395.052	446	475.806	836	498.18	1700	578.665
75	181.019	186	193.502	393	188.104	1200	266.528
72	536.161	180	643.962	675	514.195	1400	1073.35
61	405.125	170	432.727	503	368.807	1200	849.403
86	477.498	475	548.56	873	569.539	1700	641.891
68	352.295	354	425.765	985	460.391	1600	496.567
95	446.366	408	499.979	758	509.829	1700	851.159
52	607.096	480	666.514	893	711.044	1400	763.813
87	672.879	245	654.259	629	580.157	1700	1488.4
67	210.241	345	260.707	640	273.958	1200	301.779
71	530.04	288	564.279	725	592.015	1500	648.557
80	656.171	380	700.786	833	719.55	1700	791.645
59	444.078	479	540.889	907	566.41	1300	659.62
85	181.06	275	213.579	555	221.233	1200	237.685
94	303.413	414	325.515	778	337.108	1700	375.42
50	309.714	548	363.665	1018	395.187	1400	421.585
76	528.283	336	565.3	816	532.813	1600	1051.76
75	305.512	221	334.938	640	352.61	1400	387.795
76	659.604	576	734.264	1014	773.681	1700	839.971
63	934.509	147	1027.53	725	862.483	1600	2077.1
60	308.854	311	384.634	1072	407.906	1700	436.404
88	565.951	406	626.058	815	625.133	1600	943.251
105	173.228	348	187.349	626	194.729	1500	199.122
101	371.118	426	415.924	786	426.427	1700	458.688
76	238.1	180	270.017	812	294.558	1500	320.771
75	260.405	169	300.51	503	252.184	1500	787.164
74	477.35	456	528.163	919	486.892	1500	468.19
74	295.134	398	317.25	744	321.052	1500	566.117
67	162.683	190	184.976	576	194.456	1300	210.712
73	981.32	540	1124.9	935	1185.29	1500	1316.34
61	507.714	288	539.902	753	572.484	1400	539.272
88	180.761	386	196.577	730	206.023	1600	146.491
66	415.874	504	462.359	946	492.273	1400	535.136
86	302.393	353	352.683	664	363.54	1400	452.157
67	308.231	341	329.665	744	295.814	1500	803.118
93	282.681	357	326.557	668	337.139	1500	377.007
62	741.411	170	768.059	668	619.003	1400	1324.67
59	279.664	117	353.913	823	270.714	1700	640.638
36	228.262	72	300.699	484	274.828	1100	610.033
53	713.457	393	790.494	944	873.819	1300	930.224
70	157.3	304	186.951	563	189.985	1200	303.412
90	173.243	328	194.468	614	199.832	1400	263.231
61	486.488	498	556.534	886	592.645	1400	639.334
50	485.254	406	538.514	837	578.425	1300	613.676
70	773.759	161	824.032	642	765.227	1600	1724.41
45	607.334	518	693.903	890	722.912	1300	704.369
87	482.025	380	513.895	782	533.05	1700	535.633
67	803.593	356	862.61	785	897.309	1500	993.164
88	235.208	368	273.086	696	282.571	1500	373.227
76	243.22	116	286.131	594	265.251	1700	834.984
81	181.003	193	202.133	529	168.45	1600	556.962
81	404.517	557	532.843	1043	555.191	1700	611.136
99	496.836	413	584.555	770	602.794	1700	687.655
53	238.466	176	267.738	478	238.259	1100	638.037
86	212.945	369	233.777	701	228.702	1700	695.176
56	256.921	139	258.808	372	230.312	1100	574.553
54	180.134	149	236.973	456	239.543	1300	259.989
108	376.795	263	389.213	714	302.53	1700	873.258
71	760.929	577	835.087	1028	880.744	1700	983.916
69	227.241	278	244.303	541	253.817	1300	215.517
62	342.175	161	360.381	492	321.269	1300	589.127
86	289.627	346	309.452	674	317.308	1500	343.808
70	572.738	467	652.722	866	675.407	1500	864.556
76	194.154	266	214.956	519	216.948	1300	280.361
45	512.894	488	579.058	912	623.655	1300	667.253
91	517.946	464	593.642	920	596.168	1700	965.239
49	325.845	278	374.155	526	378.406	1000	466.288
51	499.062	304	558.06	774	515.021	1400	1070.6
46	270.373	158	312.095	379	292.199	1200	653.936
82	430.55	243	407.773	617	353.387	1600	918.766
57	303.645	306	330.558	681	351.615	1300	307.911
