epoch,n, train_loss, valid_loss
79,3, 263.2235296631, 191.1915982056,
79,4, 306.9780072021, 221.0422235107,
80,0, 329.4157818604, 226.4630938721,
80,1, 266.5897177124, 597.0023693848,
80,2, 276.0004531860, 699.2193237305,
80,3, 282.8756927490, 249.7911700439,
80,4, 271.1174163818, 90.1094827271,
81,0, 259.0379544067, 127.2154449463,
81,1, 219.7443518066, 91.4160102844,
81,2, 253.0430242920, 328.8359515381,
81,3, 259.2330697632, 697.8493847656,
81,4, 308.0473345947, 298.4276617432,
82,0, 215.4014544678, 977.0333862305,
82,1, 246.0914788818, 1149.9816357422,
82,2, 217.9043103027, 474.2681127930,
82,3, 229.1314242554, 164.5262881470,
82,4, 210.1082345581, 1206.8969824219,
83,0, 263.3765612793, 1367.1276464844,
83,1, 275.7098876953, 118.2165783691,
83,2, 296.2453051758, 979.3941259766,
83,3, 276.5265536499, 131.7361526489,
83,4, 424.0853405762, 459.4247436523,
84,0, 302.3438250732, 296.9420672607,
84,1, 237.7219488525, 401.3366162109,
84,2, 226.6193905640, 103.8285110474,
84,3, 251.4333926392, 1051.2697998047,
84,4, 245.8211331177, 572.2671496582,
85,0, 259.0117266846, 213.4795751953,
85,1, 291.1317749023, 585.6612939453,
85,2, 220.8511477661, 202.9107879639,
85,3, 200.4470907593, 396.0407818604,
85,4, 199.9476211548, 151.3841702271,
86,0, 228.3445547485, 130.1708105469,
86,1, 279.5216162109, 83.8693507385,
86,2, 189.1708615112, 66.8793922424,
86,3, 264.7716625977, 788.5597583008,
86,4, 197.9232672119, 715.2951037598,
87,0, 193.1262255859, 356.6663140869,
87,1, 173.5863363647, 234.7988421631,
87,2, 168.5553070068, 824.3113208008,
87,3, 249.7378701782, 165.7658920288,
87,4, 355.8678067017, 967.3217993164,
88,0, 325.4452471924, 710.1916308594,
88,1, 221.2305410767, 116.3681588745,
88,2, 212.2816244507, 101.4508709717,
88,3, 215.1229150391, 527.4300024414,
88,4, 227.8189465332, 398.8944396973,
89,0, 269.6178118896, 387.6676257324,
89,1, 311.0045098877, 653.1298803711,
89,2, 200.5017767334, 196.1740844727,
89,3, 132.2560244751, 71.0470394897,
89,4, 210.7102636719, 77.6673060608,
90,0, 211.1791842651, 380.4789965820,
90,1, 183.2041729736, 224.2906597900,
90,2, 238.9699359131, 258.9144659424,
90,3, 254.5087713623, 936.8148413086,
90,4, 243.7639108276, 161.7503106689,
91,0, 177.4751596069, 71.8990780640,
91,1, 179.4090405273, 525.4023718262,
91,2, 211.1346133423, 164.6808319092,
91,3, 246.9983743286, 1289.1020947266,
91,4, 233.6804287720, 259.4931457520,
92,0, 245.0570397949, 502.2714038086,
92,1, 243.9564962769, 646.3826354980,
92,2, 209.6834365845, 50.5312951660,
92,3, 146.1303424072, 541.8841833496,
92,4, 311.4125985718, 2193.3986230469,
93,0, 365.0809539795, 266.0811077881,
93,1, 199.3045822144, 189.6228796387,
93,2, 177.2730325317, 277.4472558594,
93,3, 173.5704888916, 260.0091473389,
93,4, 182.4623489380, 153.7792706299,
94,0, 182.3430981445, 122.4662780762,
94,1, 164.9823782349, 92.6866989136,
94,2, 258.3830780029, 322.1392816162,
94,3, 227.2324172974, 128.1108636475,
94,4, 205.0454910278, 240.8958062744,
95,0, 172.9049038696, 182.2362771606,
95,1, 215.9631417847, 104.0143783569,
95,2, 300.9223284912, 403.6239343262,
95,3, 208.5963836670, 143.3654867554,
95,4, 200.1565179443, 78.4103936768,
96,0, 212.5086505127, 129.1022601318,
96,1, 176.8652850342, 106.9269854736,
96,2, 154.8670446777, 127.3528463745,
96,3, 190.5419836426, 190.8280255127,
96,4, 188.2302700806, 130.9383056641,
97,0, 249.0597409058, 141.8011547852,
97,1, 267.4281506348, 239.8426544189,
97,2, 196.9838757324, 135.3321429443,
97,3, 170.2258169556, 479.4671643066,
97,4, 200.4818698120, 107.7063464355,
98,0, 139.7278192139, 288.3005163574,
98,1, 165.7006274414, 108.5469546509,
98,2, 196.3570129395, 236.1739611816,
98,3, 161.6375878906, 243.9507763672,
98,4, 190.8576794434, 446.9712084961,
99,0, 251.5621780396, 884.2249511719,
99,1, 299.7139459229, 794.7398022461,
99,2, 179.3685595703, 95.7598101807,
99,3, 225.6332910156, 659.8333300781,
99,4, 240.5085516357, 798.7382446289,
100,0, 260.1203082275, 484.5592944336,
100,1, 218.3071435547, 73.7737525940,
100,2, 175.9576315308, 174.4255438232,
100,3, 133.8920686340, 133.2807620239,
100,4, 131.0790270996, 138.6069934082,
101,0, 216.3622576904, 196.8655230713,
101,1, 191.3605847168, 86.4557914734,
101,2, 208.7946914673, 859.1201025391,
101,3, 176.7940325928, 134.2879067993,
101,4, 176.7848245239, 392.3943872070,
102,0, 235.0952151489, 559.5676831055,
102,1, 170.7957278442, 79.4100885010,
102,2, 154.6168133545, 479.3832519531,
102,3, 152.3551037598, 49.0388969421,
102,4, 179.0140725708, 202.3898071289,
103,0, 165.1735110474, 300.2767224121,
103,1, 157.9370346069, 427.1455798340,
103,2, 173.3984147644, 142.2759768677,
103,3, 151.6229504395, 156.6421389771,
103,4, 174.9934057617, 205.0732287598,
104,0, 175.0242968750, 80.4504791260,
104,1, 176.6053320312, 971.0679077148,
104,2, 176.7858209229, 187.3449066162,
104,3, 154.4370031738, 145.9073242188,
104,4, 185.3080712891, 552.0126501465,
105,0, 159.2673855591, 57.7144186401,
